Precio,Cambio,Potencia,Año,kilometraje,Diésel,Eléctrico,Gasolina,Hybrid
15490,0,140,2018,133862,False,False,True,False
13495,0,110,2018,64000,True,False,False,False
23099,0,177,2018,68607,True,False,False,False
15350,0,90,2019,41610,False,False,True,False
15350,0,90,2019,41610,False,False,True,False
22885,0,115,2020,28890,True,False,False,False
22885,0,115,2020,28890,True,False,False,False
10900,0,75,2017,91797,True,False,False,False
10900,0,75,2017,91797,True,False,False,False
10900,0,75,2017,91797,True,False,False,False
10900,0,75,2017,91797,True,False,False,False
15490,0,130,2017,119348,True,False,False,False
15490,0,130,2017,119348,True,False,False,False
15490,0,130,2017,119348,True,False,False,False
20885,1,140,2018,99700,False,False,True,False
17990,0,140,2021,11900,False,False,True,False
1950,0,115,2006,256000,False,False,True,False
23590,1,200,2017,54600,False,False,True,False
16500,0,115,2019,90200,True,False,False,False
11088,0,115,2014,61000,False,False,True,False
5999,0,140,2005,39999,False,False,True,False
13331,0,90,2019,54600,True,False,False,False
10990,0,90,2018,58821,False,False,True,False
3500,0,105,2010,212000,True,False,False,False
3500,0,75,2006,249000,False,False,True,False
20000,0,130,2019,19049,False,False,True,False
1800,0,85,2006,203000,True,False,False,False
22490,0,120,2018,102405,True,False,False,False
3900,0,115,2003,86000,False,False,True,False
5999,0,140,2005,43200,False,False,True,False
17590,0,110,2018,37300,True,False,False,False
2800,0,120,2006,250000,True,False,False,False
12790,0,120,2017,105500,False,False,True,False
19890,1,92,2020,18200,False,True,False,False
12300,0,110,2017,100000,True,False,False,False
13628,0,90,2017,97542,True,False,False,False
15990,0,130,2015,25000,False,False,True,False
3500,0,115,2007,280000,True,False,False,False
18860,0,130,2016,67222,True,False,False,False
9990,0,110,2015,101624,True,False,False,False
6570,0,75,2015,167900,True,False,False,False
7438,0,75,2017,129700,True,False,False,False
11490,0,110,2015,114243,True,False,False,False
20800,0,130,2017,113957,True,False,False,False
5500,0,75,2013,265000,True,False,False,False
10990,0,90,2019,125980,True,False,False,False
10500,0,75,2019,104000,True,False,False,False
17825,0,90,2019,45628,True,False,False,False
13360,0,90,2017,64442,True,False,False,False
17995,1,92,2017,63000,False,True,False,False
10490,0,70,2018,63627,False,False,True,False
10490,0,70,2018,63627,False,False,True,False
24890,0,140,2021,27000,False,False,True,False
24245,1,108,2021,28250,False,True,False,False
21620,0,115,2019,43036,True,False,False,False
8058,0,75,2017,135770,True,False,False,False
10250,0,95,2015,95732,True,False,False,False
10250,0,95,2015,95732,True,False,False,False
10250,0,95,2015,95732,True,False,False,False
2900,0,100,2008,157000,False,False,True,False
12990,0,90,2018,134416,True,False,False,False
12990,0,90,2018,134416,True,False,False,False
17900,0,130,2018,80945,False,False,True,False
17900,0,130,2018,80945,False,False,True,False
11900,0,75,2017,63554,True,False,False,False
4799,0,75,2010,145000,False,False,True,False
11900,0,75,2017,63554,True,False,False,False
11900,0,75,2017,63554,True,False,False,False
14709,0,65,2021,19071,False,False,True,False
11900,0,75,2017,63554,True,False,False,False
16990,0,90,2017,35259,False,False,True,False
17825,1,90,2018,65354,True,False,False,False
17825,1,90,2018,65354,True,False,False,False
7500,0,75,2015,15600,True,False,False,False
1990,0,120,2003,200000,True,False,False,False
9950,0,90,2014,96547,True,False,False,False
9950,0,90,2014,96547,True,False,False,False
9950,0,90,2014,96547,True,False,False,False
10990,0,90,2018,73000,False,False,True,False
16990,0,120,2019,61068,True,False,False,False
6500,0,95,2012,158000,True,False,False,False
15180,0,90,2019,83513,True,False,False,False
17990,0,140,2019,38550,False,False,True,False
9000,0,100,2013,270000,True,False,False,False
24400,0,110,2018,87857,True,False,False,False
24400,0,110,2018,87857,True,False,False,False
24400,0,110,2018,87857,True,False,False,False
24400,0,110,2018,87857,True,False,False,False
12880,0,90,2015,106034,False,False,True,False
4500,0,105,2010,243000,True,False,False,False
3799,0,70,2009,244000,True,False,False,False
4200,0,90,2010,243000,True,False,False,False
13599,0,110,2017,113300,True,False,False,False
